name,probability_female,frequency
Aaban,0,3.0736481986782753e-07
Aabha,1,1.0053989434928939e-07
Aabid,0,2.872568409979697e-08
Aabir,0,1.4362842049898485e-08
Aabriella,1,9.19221891193503e-08
Aada,1,1.4362842049898485e-08
Aadam,0,7.29632376134843e-07
Aadan,0,3.7343389329736057e-07
Aadarsh,0,5.716411135859596e-07
Aaden,0.00107342206955775,1.3380423653685428e-05
Aadesh,0,6.319650501955333e-08
Aadhav,0,5.515331347161018e-07
Aadhavan,0,1.0341246275926908e-07
Aadhi,0,1.0915759957922848e-07
Aadhira,1,2.2118776756843665e-07
Aadhvik,0,1.1777530480916757e-07
Aadhvika,1,2.585311568981727e-08
Aadhya,1,4.245656109949992e-06
Aadhyan,0,5.170623137963454e-08
Aadi,0.019347037484885126,2.3756140750532094e-06
Aadian,0,1.4362842049898485e-08
Aadil,0,9.824183962130562e-07
Aadilynn,1,1.4362842049898485e-08
Aadin,0,3.561984828374824e-07
Aadish,0,8.33044838894112e-08
Aadison,1,3.1598252509776665e-08
Aadit,0,1.0312520591827112e-06
Aadith,0,2.1831519915845696e-07
Aadithya,0,3.1598252509776665e-08
Aaditri,1,1.2352044162912697e-07
Aaditya,0,1.582785193898813e-06
Aadiv,0,4.883366296965485e-08
Aadon,0,3.389630723776042e-07
Aadrian,0,3.4470820919756364e-08
Aadrika,1,7.755934706945182e-08
Aadrit,0,4.308852614969545e-08
Aadriti,1,4.308852614969545e-08
Aadvi,1,2.0107978869857878e-08
Aadvik,0,5.802588188158988e-07
Aadvika,1,1.4937355731894423e-07
Aadya,1,2.8438427258799e-06
Aadyn,0.031496062992125984,1.459264752269686e-06
Aafia,1,1.7235410459878182e-08
Aafiya,1,3.4470820919756364e-08
Aafiyah,1,2.872568409979697e-08
Aafreen,1,1.4362842049898485e-08
Aagam,0,7.181421024949242e-08
Aage,0,2.0107978869857878e-08
Aagna,1,2.0107978869857878e-08
Aagot,1,1.4362842049898485e-08
Aahaan,0,9.479475752932999e-08
Aahan,0,7.698483338745588e-07
Aahana,1,1.5368240993391377e-06
Aaheli,1,1.4362842049898485e-08
Aahil,0,1.5885303307187723e-06
Aahir,0,1.7235410459878182e-08
Aahliyah,1,6.894164183951273e-08
Aahna,1,2.55658588488193e-07
Aahron,0,1.4362842049898485e-08
Aaidan,0,1.0915759957922848e-07
Aaiden,0,2.2319856545542245e-06
Aaidyn,0,1.694815361888021e-07
Aaila,1,1.1777530480916757e-07
Aailiyah,1,4.308852614969545e-08
Aailyah,1,5.572782715360612e-07
Aaima,1,1.8958951505865998e-07
Aaira,1,4.2801269308697483e-07
Aairah,1,3.0449225145784784e-07
Aaisha,1,5.486605663061221e-07
Aaishah,1,6.606907342953302e-08
Aaiyana,1,1.4362842049898485e-08
Aaiza,1,6.894164183951273e-08
Aaja,1,1.4362842049898485e-08
Aajah,1,8.33044838894112e-08
Aajaylah,1,5.745136819959394e-08
Aajon,0,2.2980547279837574e-08
Aakanksha,1,2.872568409979697e-08
Aakarsh,0,1.666089677788224e-07
Aakash,0,2.671488621281118e-06
Aakeem,0,4.596109455967515e-08
Aakil,0,2.585311568981727e-08
Aakilah,1,5.170623137963454e-08
Aakira,1,1.4362842049898485e-08
Aakiyah,1,1.4362842049898485e-08
Aakriti,1,1.4075585208900515e-07
Aala,1,2.642762937181321e-07
Aalaiya,1,2.0107978869857878e-08
Aalaiyah,1,1.924620834686397e-07
Aalana,1,1.3788328367902546e-07
Aalanah,1,6.032393660957364e-08
Aalani,1,2.2693290438839603e-07
Aalap,0,1.7235410459878182e-08
Aalaya,1,3.9928700898717785e-07
Aalayah,1,2.2664564754739806e-06
Aalayiah,1,5.745136819959394e-08
Aalayjah,1,1.7235410459878182e-08
Aalayna,1,1.1490273639918788e-07
Aalaysha,1,4.883366296965485e-08
Aalaysia,1,3.9641444057719816e-07
Aalea,1,2.0107978869857878e-08
Aaleah,1,7.870837443344369e-07
Aaleahya,1,5.745136819959394e-08
Aaleayah,1,1.4362842049898485e-08
Aaleena,1,1.4362842049898485e-08
Aaleeya,1,1.4362842049898485e-08
Aaleeyah,1,3.4758077760754333e-07
Aaleiah,1,1.7235410459878182e-08
Aaleigha,1,4.7397378764664997e-07
Aaleiya,1,5.457879978961424e-08
Aaleiyah,1,1.2352044162912697e-07
Aalena,1,1.4362842049898485e-08
Aalexis,1,5.745136819959394e-08
Aalexus,1,1.7235410459878182e-08
Aaleya,1,4.596109455967515e-08
Aaleyah,1,3.211531482357301e-06
Aali,0,1.7235410459878182e-08
Aalia,1,1.32712660541062e-06
Aaliah,1,2.5738212953418084e-06
Aaliana,1,5.170623137963454e-08
Aalias,0,1.4362842049898485e-08
Aaliayah,1,3.561984828374824e-07
Aaliayh,1,1.3501071526904574e-07
Aalicia,1,1.4362842049898485e-08
Aaliha,1,3.4470820919756364e-08
Aalijah,0.4226190476190476,9.651829857531782e-07
Aalilah,1,1.4362842049898485e-08
Aalim,0,9.76673259393097e-08
Aalimah,1,3.1598252509776665e-08
Aalina,1,1.694815361888021e-07
Aalinah,1,1.7235410459878182e-08
Aalisa,1,1.4362842049898485e-08
Aalisha,1,1.0053989434928939e-07
Aalivia,1,1.780992414187412e-07
Aaliya,1,3.4126112710558797e-06
Aaliyaa,1,1.4362842049898485e-08
Aaliyah,0.9988527176251255,0.0002403650342734611
Aaliyaha,1,6.032393660957364e-08
Aaliyahmarie,1,1.0341246275926908e-07
Aaliyahrose,1,6.319650501955333e-08
Aaliyan,0.9537037037037037,3.102373882778073e-07
Aaliyana,1,3.0736481986782753e-07
Aaliyanna,1,1.4362842049898485e-08
Aaliyha,1,1.2438221215212087e-06
Aaliyiah,1,1.1777530480916757e-07
Aalliyah,1,4.711012192366703e-07
Aallyah,1,1.4362842049898485e-08
Aalok,0,2.872568409979697e-08
Aalon,0,1.4362842049898485e-08
Aaloni,1,1.4362842049898485e-08
Aalya,1,1.3501071526904574e-07
Aalyah,1,1.838443782387006e-06
Aalycia,1,7.181421024949242e-08
Aalyha,1,5.457879978961424e-08
Aalyia,1,1.4362842049898485e-08
Aalyiah,1,2.111337781335077e-06
Aalyna,1,1.4362842049898485e-08
Aalysia,1,1.7235410459878182e-08
Aalyssa,1,3.303453671476651e-07
Aalyvia,1,1.4362842049898485e-08
Aamanda,1,2.872568409979697e-08
Aamanee,1,2.872568409979697e-08
Aamani,1,4.883366296965485e-07
Aamar,0,1.4362842049898485e-08
Aamari,0.4236453201970443,5.831313872258785e-07
Aamarion,0,2.872568409979697e-08
Aamaya,1,1.4362842049898485e-08
Aamber,1,4.0215957739715756e-08
Aamena,1,2.872568409979697e-08
Aamer,0,1.0053989434928939e-07
Aamia,1,6.319650501955333e-08
Aamil,0,6.319650501955333e-08
Aamilah,1,1.8671694664868028e-07
Aamina,1,8.588979545839293e-07
Aaminah,1,1.0829582905623458e-06
Aamir,0.0032485110990795887,5.3056338532325e-06
Aamira,1,8.90496207093706e-07
Aamirah,1,5.256800190262845e-07
Aamiya,1,1.4937355731894423e-07
Aamiyah,1,1.1001937010222238e-06
Aamna,1,6.118570713256754e-07
Aamoni,1,2.872568409979697e-08
Aamora,1,1.4362842049898485e-08
Aamori,1,2.901294094079494e-07
Aamya,1,3.4758077760754333e-07
Aamyah,1,1.6373639936884272e-07
Aana,1,3.4470820919756364e-08
Aanand,0,1.4362842049898485e-08
Aanav,0,7.755934706945182e-08
Aanay,0,4.596109455967515e-08
Aanaya,1,1.1777530480916757e-07
Aanchal,1,2.0682492551853816e-07
Aania,1,1.5799126254888333e-07
Aaniah,1,9.479475752932999e-08
Aanijah,1,1.4362842049898485e-08
Aanika,1,7.870837443344369e-07
Aanisah,1,1.1203016798920817e-07
Aaniya,1,9.077316175535841e-07
Aaniyah,1,3.363777608086225e-06
Aaniylah,1,3.1598252509776665e-08
Aansh,0,7.181421024949242e-08
Aanshi,1,2.2693290438839603e-07
Aanvi,1,6.405827554254723e-07
Aanya,1,7.322176877038247e-06
Aanyah,1,2.2406033597841634e-07
Aanyla,1,2.0107978869857878e-08
Aapri,1,1.4362842049898485e-08
Aaqib,0,7.755934706945182e-08
Aaqil,0,1.2064787321914727e-07
Aara,1,2.786391357680306e-07
Aarabella,1,4.883366296965485e-08
Aarabhi,1,1.4362842049898485e-08
Aaradhana,1,1.2926557844908635e-07
Aaradhy,0,1.4362842049898485e-08
Aaradhya,1,1.4075585208900514e-06
Aaraf,0,4.596109455967515e-08
Aaraiz,0,1.7235410459878182e-08
Aaralyn,1,3.4614449340255344e-06
Aaralynn,1,7.784660391044978e-07
Aaran,0,6.06111934505716e-07
Aaraon,0,1.4362842049898485e-08
Aaratrika,1,1.4362842049898485e-08
Aarav,0,1.3943447062041448e-05
Aaravi,1,5.457879978961424e-08
Aaravreddy,0,1.7235410459878182e-08
Aaraya,1,1.4362842049898485e-08
Aaren,0.26038781163434904,3.1109915880080116e-06
Aareon,0.23255813953488372,1.2352044162912697e-07
Aareona,1,2.0107978869857878e-08
Aari,0.47368421052631576,5.457879978961424e-08
Aaria,1,9.134767543735436e-07
Aariah,1,7.181421024949242e-07
Aarian,0.33714285714285713,5.026994717464469e-07
Aariana,1,1.1978610269615335e-06
Aarianna,1,5.802588188158988e-07
Aarib,0,1.8958951505865998e-07
Aaric,0,1.373087699970295e-06
Aarica,1,2.7289399894807117e-07
Aarick,0,8.043191547943151e-08
Aarie,1,1.4362842049898485e-08
Aariel,1,5.6876854517598e-07
Aariella,1,1.4362842049898485e-08
Aarielle,1,1.4075585208900515e-07
Aarien,0,2.0107978869857878e-08
Aarik,0,4.596109455967515e-07
Aarika,1,2.2032599704544272e-06
Aariketh,0,1.7235410459878182e-08
Aarilyn,1,3.0736481986782753e-07
Aarilynn,1,2.872568409979697e-08
Aarin,0.3586698337292161,2.418702601202905e-06
Aarini,1,2.7289399894807117e-07
Aarion,0.23026315789473684,1.7465215932676556e-06
Aariona,1,6.980341236250663e-07
Aarionna,1,3.8205159852729965e-07
Aaris,0.5280898876404494,2.55658588488193e-07
Aarish,0,5.055720401564266e-07
Aarit,0,2.901294094079494e-07
Aariv,0,7.325049445448227e-07
Aariya,1,3.447082091975636e-07
Aariyah,1,1.3242540370006401e-06
Aariyan,0,1.4362842049898485e-08
